unit_id,est_valuation_to_buyer,est_valuation_to_seller,est_renovation_cost,living_room_solar_direction,living_room_view_score,bedroom_view_score
275594,3040000.0,1969853.0,393077.0,North,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
275595,2765000.0,1727458.0,0.0,"","",""
275596,0.0,0.0,0.0,"","",""
275599,2695000.0,1700166.0,393077.0,North,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
275662,1625000.0,1072322.0,231840.0,West,"5 - Grande respiro, com verde ou copa de árvores",3 - Híbrida entre 2 e 4
275680,0.0,0.0,0.0,"","",""
275688,0.0,0.0,231840.0,West,"5 - Grande respiro, com verde ou copa de árvores",3 - Híbrida entre 2 e 4
275787,655000.0,462322.0,61620.0,SouthWest,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
275789,680000.0,446278.0,54776.0,"","",""
275858,0.0,0.0,0.0,"","",""
275867,0.0,0.0,0.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
275870,0.0,0.0,0.0,"","",""
275881,0.0,0.0,0.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores",3 - Híbrida entre 2 e 4
275882,1180000.0,810554.0,132795.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
275887,0.0,0.0,0.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
275889,945000.0,630034.0,110925.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
275916,755000.0,513296.0,92477.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
275950,0.0,0.0,0.0,SouthEast,"4 - Com respiro, porém com vista predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
275964,0.0,0.0,0.0,SouthWest,"6 - Vista alta e distante, predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
275965,0.0,0.0,0.0,SouthWest,"6 - Vista alta e distante, predominantemente urbana","6 - Vista alta e distante, predominantemente urbana"
275980,0.0,0.0,0.0,SouthWest,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
275997,1060000.0,680824.0,151970.0,"","",""
276002,0.0,0.0,0.0,East,"6 - Vista alta e distante, predominantemente urbana","6 - Vista alta e distante, predominantemente urbana"
276010,0.0,0.0,99256.0,"","",""
276043,815000.0,581818.0,86763.0,North,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
276046,800000.0,532824.0,109668.0,SouthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
276071,0.0,0.0,0.0,"","",""
